code_wilaya,wilaya,commune
5,BATNA,OUED TAGA
5,BATNA,OULED FADEL
5,BATNA,TIMGAD
5,BATNA,RAS EL AIOUN
5,BATNA,CHIR
5,BATNA,OULED SI SLIMANE
5,BATNA,ZANAT EL BEIDA
5,BATNA,AMDOUKAL
5,BATNA,OULED AMMAR
5,BATNA,EL HASSI
5,BATNA,LAZROU
5,BATNA,BOUMIA
5,BATNA,BOULHILAT
5,BATNA,LARBAA
6,BEJAIA,BEJAIA
6,BEJAIA,AMIZOUR
6,BEJAIA,FERRAOUN
6,BEJAIA,TAOURIRT IGHIL
6,BEJAIA,CHELATA
6,BEJAIA,TAMOKRA
6,BEJAIA,TIMZRIT
6,BEJAIA,SOUK EL THENINE
6,BEJAIA,M'CISNA
6,BEJAIA,THINABDHER
6,BEJAIA,TICHI
6,BEJAIA,SEMAOUN
6,BEJAIA,KENDIRA
6,BEJAIA,TIFRA
6,BEJAIA,IGHRAM
6,BEJAIA,AMALOU
6,BEJAIA,IGHIL ALI
6,BEJAIA,FENAIA ILMATHEN
6,BEJAIA,TOUDJA
6,BEJAIA,DARGUINA
6,BEJAIA,SIDI AYAD
6,BEJAIA,AOKAS
6,BEJAIA,BENI DJELLIL
6,BEJAIA,ADEKAR
6,BEJAIA,AKBOU
6,BEJAIA,SEDDOUK
6,BEJAIA,TAZMALT
6,BEJAIA,AIT RIZINE
6,BEJAIA,CHEMINI
6,BEJAIA,SOUK OUFELLA
6,BEJAIA,TASKRIOUT
6,BEJAIA,TIBANE
6,BEJAIA,THALA HAMZA
6,BEJAIA,BARBACHA
6,BEJAIA,BENI KSILA
6,BEJAIA,OUZALLAGUEN
6,BEJAIA,BOUHAMZA
6,BEJAIA,BENI MELIKECHE
6,BEJAIA,SIDI AICH
6,BEJAIA,EL KSEUR
6,BEJAIA,MELBOU
6,BEJAIA,AKFADOU
6,BEJAIA,ELFLAYE
6,BEJAIA,KHERRATA
6,BEJAIA,DRAA KAID
6,BEJAIA,TAMRIDJET
6,BEJAIA,AIT SMAIL
6,BEJAIA,BOUKHELIFA
6,BEJAIA,TIZI N'BERBER
6,BEJAIA,BENI MAOUCH
6,BEJAIA,OUED GHIR
6,BEJAIA,BOUDJELLIL
7,BISKRA,BISKRA
7,BISKRA,OUMACHE
7,BISKRA,BRANIS
7,BISKRA,CHETMA
7,BISKRA,OULED DJELLAL
7,BISKRA,RAS EL MIAAD
7,BISKRA,BESBES
7,BISKRA,SIDI KHALED
7,BISKRA,DOUCEN
7,BISKRA,ECH-CHAIBA
7,BISKRA,SIDI OKBA
7,BISKRA,M'CHOUNECHE
7,BISKRA,EL HAOUCH
7,BISKRA,AIN NAGA
7,BISKRA,ZERIBET EL OUED
7,BISKRA,EL FEIDH
7,BISKRA,EL KANTARA
7,BISKRA,AIN ZAATOUT
7,BISKRA,LOUTAYA
7,BISKRA,DJEMORAH
7,BISKRA,TOLGA
7,BISKRA,LIOUA
7,BISKRA,LICHANA
7,BISKRA,OURLAL
7,BISKRA,M'LILI
7,BISKRA,FOUGHALA
7,BISKRA,BORDJ BEN AZZOUZ
7,BISKRA,MEZIRAA
7,BISKRA,BOUCHAGROUN
7,BISKRA,MEKHADMA
7,BISKRA,EL GHROUS
7,BISKRA,EL HADJAB
7,BISKRA,KHANGUET SIDINADJI
8,BECHAR,BECHAR
8,BECHAR,ERG FERRADJ
8,BECHAR,OULED KHOUDHIR
8,BECHAR,MERIDJA
8,BECHAR,MERIDJA
8,BECHAR,LAHMAR
8,BECHAR,BENI ABBES
8,BECHAR,BENI IKHLEF
8,BECHAR,MECHRAA HOUARI B
8,BECHAR,EL KENEDSA
8,BECHAR,IGLI
8,BECHAR,TABALBALA
8,BECHAR,TAGHIT
8,BECHAR,EL OUATA
8,BECHAR,BOUKAIS
8,BECHAR,MOGHEUL
8,BECHAR,ABADLA
8,BECHAR,KERZAZ
8,BECHAR,KSABI
8,BECHAR,TAMTERT
8,BECHAR,BENI OUNIF
9,BLIDA,BLIDA
9,BLIDA,CHEBLI
9,BLIDA,BOUINAN
9,BLIDA,OUED EL ALLEUG
9,BLIDA,OULED YAICH
9,BLIDA,CHREA
9,BLIDA,EL AFFROUN
9,BLIDA,CHIFFA
9,BLIDA,HAMMAM MELOUANE
9,BLIDA,BEN KHLIL
9,BLIDA,SOUMAA
9,BLIDA,MOUZAIA
9,BLIDA,SOUHANE
9,BLIDA,MEFTAH
9,BLIDA,OULED SELAMA
9,BLIDA,BOUFARIK
9,BLIDA,LARBAA
9,BLIDA,OUED DJER
9,BLIDA,BENI TAMOU
9,BLIDA,BOUARFA
9,BLIDA,BENI MERED
9,BLIDA,BOUGARA
9,BLIDA,GUERROUAOU
9,BLIDA,AIN ROMANA
9,BLIDA,EL DJEBABIRA
10,BOUIRA,BOUIRA
10,BOUIRA,EL ASNAM
10,BOUIRA,GUERROUMA
10,BOUIRA,SOUK EL KHEMIS
10,BOUIRA,KADIRIA
10,BOUIRA,AHNIF
10,BOUIRA,DIRAH
10,BOUIRA,AIT LAAZIZ
10,BOUIRA,TAGHZOUT
10,BOUIRA,RAOURAOUA
10,BOUIRA,MEZDOUR
10,BOUIRA,HAIZER
10,BOUIRA,LAKHDARIA
10,BOUIRA,MAALA
10,BOUIRA,EL HACHIMIA
10,BOUIRA,AOMAR
10,BOUIRA,CHORFA
10,BOUIRA,BORDJ OUKHRISS
10,BOUIRA,EL ADJIBA
10,BOUIRA,EL-HAKIMIA
10,BOUIRA,EL KHEBOUZIA
10,BOUIRA,AHL EL KSAR
10,BOUIRA,BOUDERBALA
10,BOUIRA,ZBARBAR
10,BOUIRA,AIN EL HADJAR
10,BOUIRA,DJEBAHIA
10,BOUIRA,AGHBALOU
10,BOUIRA,TAGUEDIT
10,BOUIRA,AIN TURK
10,BOUIRA,SAHARIDJ
10,BOUIRA,DECHMIA
10,BOUIRA,RIDANE
10,BOUIRA,BECHLOUL
10,BOUIRA,BOUKRAM
10,BOUIRA,AIN BESSAM
10,BOUIRA,BIR GHBALOU
10,BOUIRA,M'CHEDALLAH
10,BOUIRA,SOUR EL GHOZLANE
10,BOUIRA,MAAMORA
10,BOUIRA,OULED RACHED
10,BOUIRA,AIN LAALOUI
10,BOUIRA,EL HADJRA ZERGA
10,BOUIRA,ATH MANSOUR
10,BOUIRA,EL MOKRANI
10,BOUIRA,OUED EL BERDI
11,TAMANRASSET,TAMANRASSET
11,TAMANRASSET,ABALESSA
11,TAMANRASSET,IN GHAR
11,TAMANRASSET,IN GUEZZAM
11,TAMANRASSET,IDLES
11,TAMANRASSET,TAZROUK
11,TAMANRASSET,TINZAOUATINE
11,TAMANRASSET,IN SALAH
11,TAMANRASSET,IN AMGUEL
11,TAMANRASSET,FOGGARET EZZAOUIA
12,TEBESSA,TEBESSA
12,TEBESSA,BIR EL ATER
12,TEBESSA,CHERIAA
12,TEBESSA,STAH GUENTIS
12,TEBESSA,EL AOUINET
12,TEBESSA,LAHOUIDJBET
12,TEBESSA,SAFSAF EL OUESRA
12,TEBESSA,HAMMAMET
12,TEBESSA,NEGRINE
12,TEBESSA,BIR EL MOKADEM
12,TEBESSA,EL KOUIF
12,TEBESSA,MORSOTT
12,TEBESSA,EL OGLA
12,TEBESSA,BIR DHEHEB
12,TEBESSA,EL OGLA EL MALHA
12,TEBESSA,GORRIGUER
12,TEBESSA,BEKKARIA
12,TEBESSA,BOUKHADRA
12,TEBESSA,EL OUENZA
12,TEBESSA,ELMA LABIODH
12,TEBESSA,OUM ALI
12,TEBESSA,THLIDJENE
12,TEBESSA,AIN ZERGA
12,TEBESSA,EL MERIDJ
12,TEBESSA,BOULHAF DYR
12,TEBESSA,BEDJENE
12,TEBESSA,EL MAZERAA
12,TEBESSA,FERKANE
13,TLEMCEN,TLEMCEN
13,TLEMCEN,BENI MESTER
13,TLEMCEN,AIN TALLOUT
13,TLEMCEN,REMCHI
13,TLEMCEN,EL FEHOUL
13,TLEMCEN,SABRA
13,TLEMCEN,GHAZAOUET
13,TLEMCEN,SOUANI
13,TLEMCEN,DJEBALA
13,TLEMCEN,EL GOR
13,TLEMCEN,OUED CHOULY
13,TLEMCEN,AIN FEZZA
13,TLEMCEN,OULED MIMOUN
13,TLEMCEN,AMIEUR
13,TLEMCEN,AIN YOUCEF
13,TLEMCEN,ZENATA
13,TLEMCEN,BENI SNOUS
13,TLEMCEN,BAB EL ASSA
13,TLEMCEN,DAR YAGHMOURASSEN
13,TLEMCEN,FELLAOUSSEN
13,TLEMCEN,AZAILES
13,TLEMCEN,SEBBAA CHIOUKH
13,TLEMCEN,TERNI BENI HEDIEL
13,TLEMCEN,BENSEKRANE
13,TLEMCEN,AIN NEHALA
13,TLEMCEN,HENNAYA
13,TLEMCEN,MAGHNIA
13,TLEMCEN,HAMMAM BOUGHRARA
13,TLEMCEN,SOUAHLIA
13,TLEMCEN,MSIRDA FOUAGA
13,TLEMCEN,AIN FETAH
13,TLEMCEN,EL ARICHA
13,TLEMCEN,SOUK THLATA
13,TLEMCEN,SIDI ABDELLI
13,TLEMCEN,SEBDOU
13,TLEMCEN,BENI OUARSOUS
13,TLEMCEN,SIDI MEDJAHED
13,TLEMCEN,BENI BOUSSAID
13,TLEMCEN,MARSA BEN M'HIDI
13,TLEMCEN,NEDROMA
13,TLEMCEN,SIDI L'DJILLALI
13,TLEMCEN,BENI BAHDEL
13,TLEMCEN,EL BOUIHI
13,TLEMCEN,HONAINE
13,TLEMCEN,TIANET
13,TLEMCEN,OULED RIYAH
13,TLEMCEN,BOUHLOU
13,TLEMCEN,SOUK EL KHEMIS
13,TLEMCEN,AIN GHORABA
13,TLEMCEN,CHETOUANE
13,TLEMCEN,MANSOURAH
13,TLEMCEN,BENI SEMIEL
13,TLEMCEN,AIN EL KEBIRA
14,TIARET,TIARET
14,TIARET,MEDROUSSA
14,TIARET,AIN BOUCHEKIF
14,TIARET,SIDI ALI MELLAL
14,TIARET,AIN ZARIT
14,TIARET,AIN DEHEB
14,TIARET,SIDI BAKHTI
14,TIARET,MEDRISSA
14,TIARET,ZMALET E ABDELKADER
14,TIARET,MADNA
14,TIARET,SEBT
14,TIARET,MELLAKOU
14,TIARET,DAHMOUNI
14,TIARET,RAHOUIA
14,TIARET,MAHDIA
14,TIARET,SOUGUEUR
14,TIARET,SIDI ABDELGHANI
14,TIARET,AIN EL HADID
14,TIARET,ROSFA
14,TIARET,NAIMA
14,TIARET,MEGHILA
14,TIARET,GUERTOUFA
14,TIARET,SIDI HOSNI
14,TIARET,DJILLALI BEN AMAR
14,TIARET,SEBAINE
14,TIARET,TOUSNINA
14,TIARET,FRENDA
14,TIARET,AIN KERMES
14,TIARET,KSAR CHELLALA
14,TIARET,RECHAIGA
14,TIARET,NADORAH
14,TIARET,TAGDEMT
14,TIARET,OUED LILLI
14,TIARET,MECHRAA SAFA
14,TIARET,HAMADIA
14,TIARET,CHEHAIMA
14,TIARET,TAKHMART
14,TIARET,SIDI ABDERRAHMANE
14,TIARET,SERGHINE
14,TIARET,BOUGARA
14,TIARET,FAIDJA
14,TIARET,TIDDA
15,TIZI OUZOU,TIZI OUZOU
15,TIZI OUZOU,AIN EL HAMMAM
15,TIZI OUZOU,AKBIL
15,TIZI OUZOU,FREHA
15,TIZI OUZOU,SOUAMAA
15,TIZI OUZOU,MECHTRASS
15,TIZI OUZOU,IRDJEN
15,TIZI OUZOU,TIMIZART
15,TIZI OUZOU,MAKOUDA
15,TIZI OUZOU,DRAA EL MIZAN
15,TIZI OUZOU,TIZI GHENIF
15,TIZI OUZOU,BOUNOUH
15,TIZI OUZOU,AIT CHAFFAA
15,TIZI OUZOU,FRIKAT
15,TIZI OUZOU,BENI AISSI
15,TIZI OUZOU,BENI ZMENZER
15,TIZI OUZOU,IFERHOUNEN
15,TIZI OUZOU,AZAZGA
15,TIZI OUZOU,ILOULA OUMALOU
15,TIZI OUZOU,YAKOUREN
15,TIZI OUZOU,LARBA NATH IRATHEN
15,TIZI OUZOU,TIZI RACHED
15,TIZI OUZOU,ZEKRI
15,TIZI OUZOU,OUAGUENOUN
15,TIZI OUZOU,AIN ZAOUIA
15,TIZI OUZOU,M'KIRA
15,TIZI OUZOU,AIT YAHIA
15,TIZI OUZOU,AIT MAHMOUD
15,TIZI OUZOU,MAATKAS
15,TIZI OUZOU,AIT BOUMEHDI
15,TIZI OUZOU,ABI YOUCEF
15,TIZI OUZOU,BENI DOUALA
15,TIZI OUZOU,ILLILTEN
15,TIZI OUZOU,BOUZGUEN
15,TIZI OUZOU,AIT AGGOUACHA
15,TIZI OUZOU,OUADHIAS
15,TIZI OUZOU,AZZEFOUN
15,TIZI OUZOU,TIGZIRT
15,TIZI OUZOU,AIT AISSA MIMOUN
15,TIZI OUZOU,BOGHNI
15,TIZI OUZOU,IFIGHA
15,TIZI OUZOU,AIT OUMALOU
15,TIZI OUZOU,TIRMITINE
15,TIZI OUZOU,AKERROU
15,TIZI OUZOU,YATAFEN
15,TIZI OUZOU,BENI ZIKI
15,TIZI OUZOU,DRAA BEN KHEDDA
15,TIZI OUZOU,OUACIF
15,TIZI OUZOU,IDJEUR
15,TIZI OUZOU,MEKLAA
15,TIZI OUZOU,TIZI N'THLATA
15,TIZI OUZOU,BENI YENNI
15,TIZI OUZOU,AGHRIB
15,TIZI OUZOU,IFLISSEN
15,TIZI OUZOU,BOUDJIMA
15,TIZI OUZOU,AIT YAHIA MOUSSA
15,TIZI OUZOU,SOUK EL THENINE
15,TIZI OUZOU,AIT KHELIL
15,TIZI OUZOU,SIDI NAAMANE
15,TIZI OUZOU,IBOUDRAREN
15,TIZI OUZOU,AGHNI GOUGHRAN
15,TIZI OUZOU,MIZRANA
15,TIZI OUZOU,IMSOUHAL
15,TIZI OUZOU,TADMAIT
15,TIZI OUZOU,AIT BOUADOU
15,TIZI OUZOU,ASSI YOUCEF
15,TIZI OUZOU,AIT TOUDERT
16,ALGER,ALGER
16,ALGER,SIDI M'HAMED
16,ALGER,EL MADANIA
16,ALGER,MOHAMED BELOUIZDAD
16,ALGER,BAB EL OUED
16,ALGER,BOLOGHINE IBN ZIRI
16,ALGER,CASBAH
16,ALGER,OUED KORICHE
16,ALGER,BIR MOURAD RAIS
16,ALGER,EL BIAR
16,ALGER,BOUZAREAH
16,ALGER,BIRKHADEM
16,ALGER,EL HARRACH
16,ALGER,BARAKI
16,ALGER,OUED SMAR
16,ALGER,BOUROUBA
16,ALGER,HUSSEIN DEY
16,ALGER,KOUBA
16,ALGER,BACHEDJERAH
16,ALGER,DAR EL BEIDA
16,ALGER,BAB EZZOUAR
16,ALGER,BEN AKNOUN
16,ALGER,DELY IBRAHIM
16,ALGER,HAMMAMET
16,ALGER,RAIS HAMIDOU
16,ALGER,GUE DE CONSTANTINE
16,ALGER,EL MOURADIA
16,ALGER,HYDRA
16,ALGER,MOHAMMADIA
16,ALGER,BORDJ EL KIFFAN
16,ALGER,EL MAGHARIA
16,ALGER,BENI MESSOUS
16,ALGER,LES EUCALYPTUS
16,ALGER,BIRTOUTA
16,ALGER,TESSALA EL MERDJA
16,ALGER,OULED CHEBEL
16,ALGER,SIDI MOUSSA
16,ALGER,AIN TAYA
16,ALGER,BORDJ EL BAHRI
16,ALGER,MARSA
16,ALGER,HARAOUA
16,ALGER,ROUIBA
16,ALGER,REGHAIA
16,ALGER,AIN BENIAN
16,ALGER,STAOUELI
16,ALGER,ZERALDA
16,ALGER,MAHELMA
16,ALGER,RAHMANIA
16,ALGER,SOUIDANIA
16,ALGER,CHERAGA
16,ALGER,OULED FAYET
16,ALGER,EL ACHOUR
16,ALGER,DRARIA
16,ALGER,DOUERA
16,ALGER,BABA HASSEN
16,ALGER,KHRAICIA
16,ALGER,SAOULA
17,DJELFA,DJELFA
17,DJELFA,MOUADJEBAR
17,DJELFA,EL GUEDID
17,DJELFA,HASSI BAHBAH
17,DJELFA,AIN MAABED
17,DJELFA,SED RAHAL
17,DJELFA,FAIDH EL BOTMA
17,DJELFA,BIRINE
17,DJELFA,BOUIRA LAHDAB
17,DJELFA,ZACCAR
17,DJELFA,EL KHEMIS
17,DJELFA,SIDI BAIZID
17,DJELFA,M'LILIHA
17,DJELFA,EL IDRISSIA
17,DJELFA,DOUIS
17,DJELFA,HASSI EL EUCH
17,DJELFA,MESSAAD
17,DJELFA,GUETTARA
17,DJELFA,SIDI LADJEL
17,DJELFA,HAD SAHARY
17,DJELFA,GUERNINI
17,DJELFA,SELMANA
17,DJELFA,AIN CHOUHADA
17,DJELFA,OUM LAADHAM
17,DJELFA,DAR CHIOUKH
17,DJELFA,CHAREF
17,DJELFA,BENI YAGOUB
17,DJELFA,ZAAFRANE
17,DJELFA,DELDOUL
17,DJELFA,AIN EL IBEL
17,DJELFA,AIN OUSSERA
17,DJELFA,BENHAR
17,DJELFA,HASSI FEDOUL
17,DJELFA,AMOURAH
17,DJELFA,AIN FEKA
17,DJELFA,TADMIT
18,JIJEL,JIJEL
18,JIJEL,ERRAGUENE
18,JIJEL,EL AOUANA
18,JIJEL,ZIAMMA MANSOURIAH
18,JIJEL,TAHER
18,JIJEL,EL EMIR ABDELKADER
18,JIJEL,CHEKFA
18,JIJEL,CHAHNA
18,JIJEL,EL MILIA
18,JIJEL,SIDI MAAROUF
18,JIJEL,SETTARA
18,JIJEL,EL ANCER
18,JIJEL,SIDI ABDELAZIZ
18,JIJEL,KAOUS
18,JIJEL,GHEBALA
18,JIJEL,BOURAOUI BELHADEF
18,JIJEL,DJIMLA
18,JIJEL,SELMA BENZIADA
18,JIJEL,BOUSSIF O AKSEUR
18,JIJEL,EL KENNAR NOUCHFI
18,JIJEL,OULED YAHIA KHADROUCHE 
18,JIJEL,BOUDRIA BENI YADJIS
18,JIJEL,KEMIR OUED ADJOUL
18,JIJEL,TAXNA
18,JIJEL,DJEMAA BENI HABIBI
18,JIJEL,BORDJ TAHER
18,JIJEL,OULED RABAH
18,JIJEL,OUADJANA
19,SETIF,SETIF
19,SETIF,AIN EL KEBIRA
19,SETIF,BENI AZIZ
19,SETIF,OULED SIDI AHMED
19,SETIF,BOUTALEB
19,SETIF,AIN ROUA
19,SETIF,DRAA KEBILA
19,SETIF,BIR EL ARCH
19,SETIF,BENI CHEBANA
19,SETIF,OULED TEBBEN
19,SETIF,HAMMA
19,SETIF,MAAOUIA
19,SETIF,AIN LEGRAJ
19,SETIF,AIN ABASSA
19,SETIF,DEHAMCHA
19,SETIF,BABOR
19,SETIF,GUIDJEL
19,SETIF,AIN LAHDJAR
19,SETIF,BOUSSELAM
19,SETIF,EL EULMA
19,SETIF,DJEMILA
19,SETIF,BENI OUERTILANE
19,SETIF,ROSFA
19,SETIF,OULED ADDOUANE
19,SETIF,BELAA
19,SETIF,AIN ARNAT
19,SETIF,AMOUCHA
19,SETIF,AIN OULMANE
19,SETIF,BEIDHA BORDJ
19,SETIF,BOUANDAS
19,SETIF,BAZER SAKHRA
19,SETIF,HAMMAM ESSOKHNA
19,SETIF,MEZLOUG
19,SETIF,BIR HADDADA
19,SETIF,SERDJ EL GHOUL
19,SETIF,HARBIL
19,SETIF,EL OURISSIA
19,SETIF,TIZI N'BECHAR
19,SETIF,SALAH BEY
19,SETIF,AIN AZAL
19,SETIF,GUENZET
19,SETIF,TALA IFASSEN
19,SETIF,BOUGAA
19,SETIF,BENI FODHA
19,SETIF,TACHOUDA
19,SETIF,BENI MOHLI
19,SETIF,OULED SABER
19,SETIF,GUELLAL BOUTALEB
19,SETIF,AIN ESSEBT
19,SETIF,HAMMAM GUERGOUR
19,SETIF,AIT NAOUAL MEZADA
19,SETIF,KASR EL ABTAL
19,SETIF,BENI HOCINE
19,SETIF,AIT TIZI
19,SETIF,MAOUKLANE
19,SETIF,GUELTA ZERKA
19,SETIF,OUED EL BARAD
19,SETIF,TAYA
19,SETIF,EL OULDJA
19,SETIF,TELLA
20,SAIDA,SAIDA
20,SAIDA,DHAOUI THABET
20,SAIDA,AIN EL HADJER
20,SAIDA,OULED KHALED
20,SAIDA,MOULAY LAARBI
20,SAIDA,YOUB
20,SAIDA,HOUNET
20,SAIDA,SIDI AMAR
20,SAIDA,SIDI BOUBEKEUR
20,SAIDA,EL HASSASNA
20,SAIDA,EL MAAMORA
20,SAIDA,SIDI AHMED
20,SAIDA,AIN S'KHOUNA
20,SAIDA,OULED IBRAHIM
20,SAIDA,TIRCINE
20,SAIDA,AIN SOLTANE
21,SKIKDA,SKIKDA
21,SKIKDA,AIN ZOUIT
21,SKIKDA,EL HADAIK
21,SKIKDA,AZZABA
21,SKIKDA,DJENDEL SI MOHAMED
21,SKIKDA,AIN CHERCHAR
21,SKIKDA,BEKKOUCHE LAKHDAR
21,SKIKDA,BENI AZZOUZ
21,SKIKDA,ES-SEBT
21,SKIKDA,COLLO
21,SKIKDA,BENI ZID
21,SKIKDA,KERKARA
21,SKIKDA,OULED ATTIA
21,SKIKDA,OUED ZEHOUR
21,SKIKDA,ZITOUNA
21,SKIKDA,EL HARROUCH
21,SKIKDA,ZERDAZA
21,SKIKDA,OULED HEBABA
21,SKIKDA,SIDI MEZGHICHE
21,SKIKDA,EMDJEZ EDCHICH
21,SKIKDA,BENI OULBANE
21,SKIKDA,AIN BOUZIANE
21,SKIKDA,RAMDANE DJAMEL
21,SKIKDA,BENI BACHIR
21,SKIKDA,SALAH BOUCHAOUR
21,SKIKDA,TAMALOUS
21,SKIKDA,AIN KECHRA
21,SKIKDA,OUM TOUB
21,SKIKDA,BEIN EL OUIDEN
21,SKIKDA,FELFELA
21,SKIKDA,CHEREA
21,SKIKDA,KANOUA
21,SKIKDA,EL GHEDIR
21,SKIKDA,BOUCHTATA
21,SKIKDA,OULDJA BOULBALOUT
21,SKIKDA,KHENEG MAAYOUM
21,SKIKDA,HAMADI KROUMA
21,SKIKDA,EL MARSA
22,SIDI BEL ABBES,SIDI BEL ABBES
22,SIDI BEL ABBES,TESSALA
22,SIDI BEL ABBES,SIDI IBRAHIM
